[Data]
Sample_Name,Project_ID,File_Forward,File_Reverse
AP100,488,AP100_1.fq.gz,AP100_2.fq.gz
AP101,488,AP101_1.fq.gz,AP101_2.fq.gz
AP102,488,AP102_1.fq.gz,AP102_2.fq.gz
AP103,488,AP103_1.fq.gz,AP103_2.fq.gz
AP104,488,AP104_1.fq.gz,AP104_2.fq.gz
AP107,488,AP107_1.fq.gz,AP107_2.fq.gz
AP108,488,AP108_1.fq.gz,AP108_2.fq.gz
AP109,488,AP109_1.fq.gz,AP109_2.fq.gz
AP11,488,AP11_1.fq.gz,AP11_2.fq.gz
AP110,488,AP110_1.fq.gz,AP110_2.fq.gz
AP111,488,AP111_1.fq.gz,AP111_2.fq.gz
AP112,488,AP112_1.fq.gz,AP112_2.fq.gz
AP115,488,AP115_1.fq.gz,AP115_2.fq.gz
AP116,488,AP116_1.fq.gz,AP116_2.fq.gz
AP117,488,AP117_1.fq.gz,AP117_2.fq.gz
AP118,488,AP118_1.fq.gz,AP118_2.fq.gz
AP119,488,AP119_1.fq.gz,AP119_2.fq.gz
AP12,488,AP12_1.fq.gz,AP12_2.fq.gz
AP120,488,AP120_1.fq.gz,AP120_2.fq.gz
AP122,488,AP122_1.fq.gz,AP122_2.fq.gz
AP123,488,AP123_1.fq.gz,AP123_2.fq.gz
AP124,488,AP124_1.fq.gz,AP124_2.fq.gz
AP125,488,AP125_1.fq.gz,AP125_2.fq.gz
AP126,488,AP126_1.fq.gz,AP126_2.fq.gz
AP127,488,AP127_1.fq.gz,AP127_2.fq.gz
AP128,488,AP128_1.fq.gz,AP128_2.fq.gz
AP13,488,AP13_1.fq.gz,AP13_2.fq.gz
